"id","title","kana","cats","area","venue","venue_url","pref","start_date","end_date","date","dates","open_time","start_time","end_time","date_note","backup_date","status","rank","series_id","announced_date","is_additional","onsale_label","onsale_start","onsale_start_time","onsale_end","onsale_end_time","limited_sale","price","price_official","price_best","discount_pct","best_source","coupon_note","price_checked","price_condition","source","url","official_url","lat","lng","desc","note","parking","nearest_station"
"11","よみランCLUB会員限定!秋の都民・県民の日キャンペーン","","ent","東京都・稲城市","よみうりランド","https://www.yomiuriland.com/","tokyo","2026-09-28","2026-11-23","","","","","","","","","","","","","","","","","","","対象地域の都民・県民の日にワンデーパス等が割引（要よみランCLUB会員登録・条件提示）","","","","","","2026-09-23","よみランCLUB会員のみ・対象地域の在住／在勤／在学の提示が必要","公式サイト","https://www.yomiuriland.com/event/","https://www.yomiuriland.com/","35.6367","139.5133","よみランCLUB会員を対象に、都民の日・県民の日にちなんでワンデーパス等が割引になる約2カ月間の期間限定キャンペーン。対象地域の在住・在勤・在学者が条件を提示すると割引が適用される、秋恒例の会員向け優待企画。","","A-1・A-2・C-1・C-2駐車場 平日1,500円・土日祝/特定日2,000円〜(B・D・Eは30分400円)","京王線「京王よみうりランド駅」からゴンドラ「スカイシャトル」/小田急線「読売ランド前駅」からバス"
"12","今シーズンは新色登場！世界的照明デザイナー石井幹子プロデュース「ジュエルミネーション」開催決定","","exp","東京都・稲城市","よみうりランド","https://www.yomiuriland.com/","tokyo","2026-10-29","2027-04-04","","","","","","","","","","","","","","","","","","","ジュエルミネーション期間アフターパス（15:00～入園+乗り放題）おとな3,100円（オンライン2,800円）","3100","","","","","2026-09-23","","公式サイト","https://www.yomiuriland.com/event/","https://www.yomiuriland.com/","35.6367","139.5133","","通常のワンデーパス（5,900円）でも昼から観覧可能。アフターパスは15時以降入園者向けの割引チケット","A-1・A-2・C-1・C-2駐車場 平日1,500円・土日祝/特定日2,000円〜(B・D・Eは30分400円)","京王線「京王よみうりランド駅」からゴンドラ「スカイシャトル」/小田急線「読売ランド前駅」からバス"
"13","グッジョバ!!FOOD factoryリニューアルオープン！ 新アトラクション「U.F.O.ソースシューティング」登場！","","fam","東京都・稲城市","よみうりランド","https://www.yomiuriland.com/","tokyo","2026-07-17","","","","","","","","","","","","","","","","","","","","入園料1,800円（オンライン1,600円）で入園可。アトラクション利用は別途料金","1800","","","","","2026-09-23","","公式サイト","https://www.yomiuriland.com/event/","https://www.yomiuriland.com/","35.6367","139.5133","食品工場をテーマにしたエリア「グッジョバ!!」の「FOOD factory」がリニューアル。新アトラクション「U.F.O.ソースシューティング」が登場し、食にまつわる体験コンテンツが拡充された。","","A-1・A-2・C-1・C-2駐車場 平日1,500円・土日祝/特定日2,000円〜(B・D・Eは30分400円)","京王線「京王よみうりランド駅」からゴンドラ「スカイシャトル」/小田急線「読売ランド前駅」からバス"
"14","未就学児デビュー応援キャンペーン","","fam","東京都・稲城市","よみうりランド","https://www.yomiuriland.com/","tokyo","2026-10-05","2026-11-03","","","","","","","","","","","","","","","","","","","入園料1,800円（オンライン1,600円）で入園可","1800","","","","","2026-09-26","","公式サイト","https://www.yomiuriland.com/event/","https://www.yomiuriland.com/","35.6367","139.5133","未就学児の遊園地デビューを応援する期間限定キャンペーン。小さな子ども連れでも楽しみやすいアトラクション・企画を案内する。","","A-1・A-2・C-1・C-2駐車場 平日1,500円・土日祝/特定日2,000円〜(B・D・Eは30分400円)","京王線「京王よみうりランド駅」からゴンドラ「スカイシャトル」/小田急線「読売ランド前駅」からバス"
"15","10月31日はラッキーのお誕生日！期間中、バースデーイベント盛りだくさん！","","fam","東京都・稲城市","よみうりランド","https://www.yomiuriland.com/","tokyo","2026-10-01","2026-11-01","","","","","","","","","","","","","","","","","","","入園料1,800円（オンライン1,600円）で入園可","1800","","","","","2026-09-26","","公式サイト","https://www.yomiuriland.com/event/","https://www.yomiuriland.com/","35.6367","139.5133","よみうりランドのマスコット「ラッキー」の誕生日を記念した期間限定企画。グリーティングやお祝い装飾など、バースデー関連のイベントを園内で展開する。","","A-1・A-2・C-1・C-2駐車場 平日1,500円・土日祝/特定日2,000円〜(B・D・Eは30分400円)","京王線「京王よみうりランド駅」からゴンドラ「スカイシャトル」/小田急線「読売ランド前駅」からバス"
"16","PUROMONSTERSCRAMBLE","","ent","東京都・多摩市","サンリオピューロランド","https://www.puroland.jp/","tokyo","2026-09-11","2026-11-03","","","","","","","","","","","","","","","","","","","デイパスポート大人3,900円〜／アフタヌーンパスポート大人2,800円〜（来園日により変動制、公式カレンダーで要確認）","","","","","","2026-09-26","","公式サイト","https://www.puroland.jp/event-campaign/2026_halloween/","https://www.puroland.jp/event-campaign/2026_halloween/","35.6373","139.4459","館内が仮装モンスターたちのハロウィーンパーティ会場に。1Fエンターテイメントホールでの没入型ライブショー「PUROMONSTERSCRAMBLE PARTY」やDJタイム、ホラー演出のボートライド「ノロワレピエロ」（土日祝限定・中学生以上）を実施。POP LANDの人気キャラLABUBUとのコラボも。","ボートライドのホラーバージョンは中学生以上のみ乗船可","ピューロランド地下駐車場 1日1,800円(営業日6:00〜閉館30分後、約80台)","京王線「京王多摩センター駅」/小田急線「小田急多摩センター駅」/多摩モノレール「多摩センター駅」"
"17","Sanrio Puroland 35th Anniversary","","ent","東京都・多摩市","サンリオピューロランド","https://www.puroland.jp/","tokyo","2025-12-05","2026-12-31","","","","","","","","","","","","","","","","","","","デイパスポート大人3,900円〜／アフタヌーンパスポート大人2,800円〜（来園日により変動制、公式カレンダーで要確認）","","","","","","2026-09-26","","公式サイト","https://www.puroland.jp/event-campaign/35th/","https://www.puroland.jp/event-campaign/35th/","35.6373","139.4459","開館35周年を記念した通年キャンペーン。館内各所に全35キャラクターの鏡のフォトスポットが登場するほか、記念デザイングッズなどを展開する。","","ピューロランド地下駐車場 1日1,800円(営業日6:00〜閉館30分後、約80台)","京王線「京王多摩センター駅」/小田急線「小田急多摩センター駅」/多摩モノレール「多摩センター駅」"
"18","The Quest of Wonders Parade","","ent","東京都・多摩市","サンリオピューロランド","https://www.puroland.jp/","tokyo","2025-12-05","2026-12-31","","","","","","","","","","","","","","","","","","","デイパスポート大人3,900円〜／アフタヌーンパスポート大人2,800円〜（来園日により変動制、公式カレンダーで要確認）","","","","","","2026-09-26","","公式サイト","https://www.puroland.jp/event-campaign/35th/","https://www.puroland.jp/event-campaign/35th/","35.6373","139.4459","35周年記念で10年ぶりに上演される新作パレード。ハローキティたちが「永遠にしあわせになれる秘宝」を探す冒険をテーマに、3Fフロアで展開する。","","ピューロランド地下駐車場 1日1,800円(営業日6:00〜閉館30分後、約80台)","京王線「京王多摩センター駅」/小田急線「小田急多摩センター駅」/多摩モノレール「多摩センター駅」"
"19","POMPOMPURIN 30th Anniversary","","ent","東京都・多摩市","サンリオピューロランド","https://www.puroland.jp/","tokyo","2026-04-10","2026-12-31","","","","","","","","","","","","","","","","","","","デイパスポート大人3,900円〜／アフタヌーンパスポート大人2,800円〜（来園日により変動制、公式カレンダーで要確認）","","","","","","2026-09-26","","公式サイト","https://www.puroland.jp/event-campaign/pompompurin30th/","https://www.puroland.jp/event-campaign/pompompurin30th/","35.6373","139.4459","ポムポムプリン生誕30周年の通年キャンペーン。特別展・イルミネーション・限定グリーティングやグッズ・フードを順次展開する。企画展「ポムポムすぎるよ展」は11・12月にも追加開催予定。","","ピューロランド地下駐車場 1日1,800円(営業日6:00〜閉館30分後、約80台)","京王線「京王多摩センター駅」/小田急線「小田急多摩センター駅」/多摩モノレール「多摩センター駅」"
"20","WISH ME MELL 15TH ANNIVERSARY","","ent","東京都・多摩市","サンリオピューロランド","https://www.puroland.jp/","tokyo","2026-09-18","2027-03-31","","","","","","","","","","","","","","","","","","","デイパスポート大人3,900円〜／アフタヌーンパスポート大人2,800円〜（来園日により変動制、公式カレンダーで要確認）","","","","","","2026-09-26","","公式サイト","https://www.puroland.jp/event-campaign/wishmemell15th/","https://www.puroland.jp/event-campaign/wishmemell15th/","35.6373","139.4459","ウィッシュミーメル15周年記念キャンペーン。「伝えたいきもち」をテーマにしたグリーティングやコスチューム、限定グッズ・フードを展開する。","","ピューロランド地下駐車場 1日1,800円(営業日6:00〜閉館30分後、約80台)","京王線「京王多摩センター駅」/小田急線「小田急多摩センター駅」/多摩モノレール「多摩センター駅」"
"21","SPOOKY PUMPKIN 2026 〜PURO ALL NIGHT HALLOWEEN PARTY〜","","ent","東京都・多摩市","サンリオピューロランド","https://www.puroland.jp/","tokyo","2026-10-31","2026-10-31","","","21:30","22:00","","","","","","","","","一般販売","2026-10-03","10:00","","","","前売り通常チケット13,800円（税込）／当日チケット14,800円（税込）","13800","","","","","2026-09-26","","公式サイト","https://www.puroland.jp/event-campaign/spookypumpkin2026/","https://www.puroland.jp/event-campaign/spookypumpkin2026/","35.6373","139.4459","20歳以上限定の深夜ハロウィーンナイトパーティ。スチャダラパーや水曜日のカンパネラ、王林、Novel Coreら多数のアーティスト・DJが出演し、朝5時までのオールナイト開催。入場時にIDチェックあり。","20歳未満は入場不可。入場時に写真付き身分証の提示が必要","ピューロランド地下駐車場 1日1,800円(営業日6:00〜閉館30分後、約80台)","京王線「京王多摩センター駅」/小田急線「小田急多摩センター駅」/多摩モノレール「多摩センター駅」"
"22","Happy Halloween JOYPOLIS 2026","","ent","東京都・港区","東京ジョイポリス","https://tokyo-joypolis.com/","tokyo","2026-09-19","2026-10-31","","","","","","","","","","","","","","","","","","","パスポート（入場+乗り放題）大人6,000円（Web前売5,700円）","6000","5700","5","asoview!","","2026-09-23","","公式サイト","https://tokyo-joypolis.com/ticket/asoview/2303.html","https://tokyo-joypolis.com/event/Halloween2026/index.html","35.6272","139.7745","館内をハロウィン装飾で彩り、限定メニューも登場。神出鬼没のハロウィンバージョン・ソニックが館内に出没するなど、通年営業のジョイポリスに秋の特別ムードを加える期間限定企画。","","DECKS Tokyo Beach駐車場 平日30分300円(上限1,500円)・土日祝30分400円(上限なし)","ゆりかもめ「お台場海浜公園駅」徒歩2分/りんかい線「東京テレポート駅」徒歩5分"
"23","ホロライブ × ジョイポリス SHINY PARTY","","ent","東京都・港区","東京ジョイポリス","https://tokyo-joypolis.com/","tokyo","2026-10-16","2026-12-27","","","","","","","","","","","","1","","","","","","","パスポート（入場+乗り放題）大人6,000円（Web前売5,700円）","6000","5700","5","asoview!","","2026-09-23","","公式サイト","https://tokyo-joypolis.com/ticket/asoview/2303.html","https://tokyo-joypolis.com/event/hololive_jp2026/index.html","35.6272","139.7745","ホロライブ × ジョイポリス SHINY PARTY 第6弾。VTuberタレントとのコラボレーション。グリーティング、ミニライブ、限定グッズで推し活を応援。","会期が12月6日から12月27日に延長","DECKS Tokyo Beach駐車場 平日30分300円(上限1,500円)・土日祝30分400円(上限なし)","ゆりかもめ「お台場海浜公園駅」徒歩2分/りんかい線「東京テレポート駅」徒歩5分"
"24","アイドルマスター SideM in JOYPOLIS 3","","ent","東京都・港区","東京ジョイポリス","https://tokyo-joypolis.com/","tokyo","2026-09-12","2026-12-06","","","","","","","","","","","","","","","","","","","パスポート（入場+乗り放題）大人6,000円（Web前売5,700円）","6000","5700","5","asoview!","","2026-09-23","","公式サイト","https://tokyo-joypolis.com/ticket/asoview/2303.html","https://tokyo-joypolis.com/event/sidem_jp2026/index.html","35.6272","139.7745","『アイドルマスター SideM』第3弾コラボレーション。315 Productionのアイドルたちが30周年記念大使として登場。ゲーム世界観のエンターテイメント体験。","","DECKS Tokyo Beach駐車場 平日30分300円(上限1,500円)・土日祝30分400円(上限なし)","ゆりかもめ「お台場海浜公園駅」徒歩2分/りんかい線「東京テレポート駅」徒歩5分"
"25","東京ジョイポリス開館30周年","","ent","東京都・港区","東京ジョイポリス","https://tokyo-joypolis.com/","tokyo","2026-07-12","2027-07-11","","","","","","","","","","","","","","","","","","","パスポート（入場+乗り放題）大人6,000円（Web前売5,700円）","6000","5700","5","asoview!","","2026-09-23","","公式サイト","https://tokyo-joypolis.com/ticket/asoview/2303.html","https://tokyo-joypolis.com/event/30th_anniversary/index.html","35.6272","139.7745","2026年7月12日の開館30周年を記念し、翌年7月まで1年間を「30周年イヤー」として多彩な記念企画を順次展開。アイドルマスターSideMコラボ等のタイアップも30周年関連企画として実施。","","DECKS Tokyo Beach駐車場 平日30分300円(上限1,500円)・土日祝30分400円(上限なし)","ゆりかもめ「お台場海浜公園駅」徒歩2分/りんかい線「東京テレポート駅」徒歩5分"
"26","堂本光一 × ふぉ～ゆ～ BLOOM WORLD in JOYPOLIS","","ent","東京都・港区","東京ジョイポリス","https://tokyo-joypolis.com/","tokyo","2026-07-09","2026-10-04","","","","","","","","","","","","","","","","","","","パスポート（入場+乗り放題）大人6,000円（Web前売5,700円）","6000","5700","5","asoview!","","2026-09-23","","公式サイト","https://tokyo-joypolis.com/ticket/asoview/2303.html","https://tokyo-joypolis.com/event/kd_4u_jp/index.html","35.6272","139.7745","30周年記念コラボレーション","","DECKS Tokyo Beach駐車場 平日30分300円(上限1,500円)・土日祝30分400円(上限なし)","ゆりかもめ「お台場海浜公園駅」徒歩2分/りんかい線「東京テレポート駅」徒歩5分"
"27","ハロウィンイベント「ブリック・オア・トリート」","","fam","東京都・港区","レゴランド・ディスカバリー・センター東京","https://www.legolanddiscoverycenter.com/tokyo/","tokyo","2026-09-18","2026-10-31","","","","","","","","","","","","","","","","","","","日時指定入場チケット2,350円〜3,300円（3歳以上・日付により変動、公式サイトで要確認。参加費は入場券に含む）","","","","","","2026-09-23","","公式サイト","https://www.legolanddiscoverycenter.com/tokyo/what-s-inside/events/halloween/","https://www.legolanddiscoverycenter.com/tokyo/what-s-inside/events/halloween/","35.6272","139.7745","館内でハロウィン限定のレゴ®ブロックビルドや期間限定4Dムービー「モンスター・パーティからの大脱出」を楽しめる親子向け企画。10月の土日祝は仮装した子供にミニフィギュアをプレゼントするキャンペーンも実施。","レゴ®ニンジャゴー・シティ・アドベンチャーは10/6〜10/9、4Dシネマは11/30〜12/4メンテナンス休止","",""
"28","宝石さがし～つまんで、すくって、宝探し～","","fam","東京都・あきる野市","東京サマーランド","https://www.summerland.co.jp/","tokyo","2026-07-04","2026-10-12","","","","","","","","","","","","","","","","","","","入園料は来園日により変動制（春季・秋季2,600円〜C期間5,600円、公式のカレンダーで要確認）","","","","","","2026-09-23","","公式サイト","https://www.summerland.co.jp/event-info/9701/","https://www.summerland.co.jp/event-info/9701/","35.7472","139.2694","つまんで、すくって、宝探し。夏を彩る家族向けアクティビティ。水中での宝探しと宝集めが楽しめる期間限定イベント。","入園には別途1Dayパスが必要（大人2,600円～5,600円、来場時期により変動、税込）","平日1,500円・土日祝および8/10・8/12〜8/14は2,000円(乗用車1日1台)",""
"29","特別企画「闇の魔術のハロウィーン」","","ent","東京都・練馬区","ワーナー ブラザース スタジオツアー東京 メイキング・オブ ハリー・ポッター","https://www.wbstudiotour.jp/","tokyo","2026-09-10","2026-11-08","","","","","","","","","","","","","","","","","","","特別企画自体の追加料金はなく、通常のスタジオツアー入場料金（一般チケット大人6,300円〜7,300円、来場日により変動）に含まれる","","","","","","2026-09-26","","公式サイト","https://www.wbstudiotour.jp/dark-arts/","https://www.wbstudiotour.jp/dark-arts/","35.7391","139.6547","日本初開催の特別企画「闇の魔術のハロウィーン」。ホグワーツ大広間がハロウィーン仕様に装飾され、館内各所にデスイーターやディメンターが出現。限定フード・ドリンクに加え、初開催のナイトツアー（デスイーター探しの達成認定証つき）も実施。","","事前予約制(詳細は公式サイトのパーキング案内を参照)","西武豊島線「豊島園駅」徒歩2分/都営大江戸線「豊島園駅」徒歩2分"
"30","闇の魔術のハロウィーン期間限定アフタヌーンティー","","food","東京都・練馬区","ワーナー ブラザース スタジオツアー東京 メイキング・オブ ハリー・ポッター","https://www.wbstudiotour.jp/","tokyo","2026-09-10","2026-11-08","","","","","","","","","","","","","","","","","","","アフタヌーンティーパッケージ 大人13,700円〜14,700円（入場券込・来場日により変動）","","","","","","2026-09-26","","公式サイト","https://www.wbstudiotour.jp/the-experience/afternoon-tea/","https://www.wbstudiotour.jp/the-experience/afternoon-tea/","35.7391","139.6547","","パッケージ料金は来場日により変動。単品購入不可でツアー入場券とのセット販売のみ","事前予約制(詳細は公式サイトのパーキング案内を参照)","西武豊島線「豊島園駅」徒歩2分/都営大江戸線「豊島園駅」徒歩2分"
"31","闇の魔術のハロウィーン期間限定ハイティー","","food","東京都・練馬区","ワーナー ブラザース スタジオツアー東京 メイキング・オブ ハリー・ポッター","https://www.wbstudiotour.jp/","tokyo","2026-09-10","2026-11-08","","","","","","","","","","","","","","","","","","","イブニングハイティーパッケージ 大人16,500円〜16,800円（入場券込・来場日により変動）","","","","","","2026-09-26","","公式サイト","https://www.wbstudiotour.jp/the-experience/high-tea/","https://www.wbstudiotour.jp/the-experience/high-tea/","35.7391","139.6547","","単品購入は無く、ツアー入場券とのセット販売のみ","事前予約制(詳細は公式サイトのパーキング案内を参照)","西武豊島線「豊島園駅」徒歩2分/都営大江戸線「豊島園駅」徒歩2分"
"32","VRアトラクション","","exp","東京都・墨田区","すみだ水族館","https://www.sumida-aquarium.com/","tokyo","2026-09-01","2026-11-30","","","","","","","","","","","","","","","","","","","参加料金1コンテンツ1,000円（税込・入館料は別途必要）","1000","","","","","2026-09-26","","公式サイト","https://www.sumida-aquarium.com/news/s_260831/","https://www.sumida-aquarium.com/news/s_260831/","35.7101","139.8107","国内水族館初導入の米国IMMOTION社VRアトラクション。圧倒的没入感の海洋コンテンツで、海の深さと生命の多様性を体験。","入館料は別途必要（一般料金：大人2,700円／高校生2,000円／中小学生1,400円／幼児900円）。身長90cm以上対象、小学生以下は保護者同伴必要","専用駐車場なし(近隣の東京スカイツリータウン駐車場等を利用、割引なし)","東武スカイツリーライン「とうきょうスカイツリー駅」すぐ/「押上(スカイツリー前)駅」徒歩5分"
"33","東京都美術館開館100周年記念 大英博物館日本美術コレクション 百花繚乱～海を越えた江戸絵画","","art","東京都・台東区","東京都美術館","https://www.tobikan.jp/","tokyo","2026-07-25","2026-10-18","","","","","","","","","","","","","","","","","","","一般2,300円（前売2,100円）／大学生・専門学校生1,300円（1,100円）／65歳以上1,600円（1,400円）","2300","","","","","2026-09-26","","公式サイト","https://www.tobikan.jp/exhibition/2026_britishmuseum.html","https://www.tobikan.jp/exhibition/2026_britishmuseum.html","35.7168","139.7714","大英博物館が誇る4万点に及ぶ日本美術コレクションから、歌麿・写楽・北斎・広重ら代表的浮世絵師8人の版画と江戸期の屏風・絵巻を厳選し、収集の背景や国際的な文化交流の歴史も併せて紹介する里帰り展。","","館内に駐車場なし","JR上野駅「公園改札」より徒歩7分"
"34","東京都美術館開館100周年記念 この場所の風景―上野・大牟田・ブエノスアイレス","とうきょうとびじゅつかんかいかんひゃくしゅうねんきねん このばしょのふうけい うえの おおむた ぶえのすあいれす","art","東京都・台東区","東京都美術館","https://www.tobikan.jp/","tokyo","2026-07-23","2026-10-07","","","","","","","","","","","","","","","","","","","一般1,200円／65歳以上1,000円／学生・18歳以下無料","1200","","","","","2026-09-26","","公式サイト","https://www.tobikan.jp/exhibition/2026_viewsofthisplace.html","https://www.tobikan.jp/exhibition/2026_viewsofthisplace.html","35.7168","139.7714","開館100周年を記念し、上野の美術館の歩み、独学の画家・江上茂雄が九州で描き続けた風景、そして所蔵品第一号《百日草の庭》をめぐる移民史の調査という三つの場所の物語を並行してたどる企画展。","","館内に駐車場なし","JR上野駅「公園改札」より徒歩7分"
