name,kind,pref,area,lat,lng,url,status,closed_until,first_seen,last_hit,hit_count,note
鴨川シーワールド,aquazoo,chiba,千葉県・鴨川市,35.1122,140.1544,https://www.kamogawa-seaworld.jp/,active,,2026-08-02,,0,
千葉市動物公園,aquazoo,chiba,千葉県・千葉市若葉区,35.5844,140.1256,https://www.city.chiba.jp/zoo/,active,,2026-08-02,,0,
犬吠埼マリンパーク,aquazoo,chiba,,,,,active,,2026-08-02,,0,
DIC川村記念美術館,museum,chiba,,,,,active,,2026-08-02,,0,
ホキ美術館,museum,chiba,千葉県・千葉市緑区,35.5089,140.2278,https://www.hoki-museum.jp/,active,,2026-08-02,,0,
千葉県立美術館,museum,chiba,千葉県・千葉市中央区,35.6073,140.1064,https://www.chiba-muse.or.jp/ART/,active,,2026-08-02,,0,
国立歴史民俗博物館,museum,chiba,千葉県・佐倉市,35.7186,140.2258,https://www.rekihaku.ac.jp/,active,,2026-08-02,,0,
佐倉市立美術館,museum,chiba,千葉県・佐倉市,35.7217,140.2261,https://www.city.sakura.lg.jp/section/museum/,active,,2026-08-02,,0,
千葉市美術館,museum,chiba,千葉県・千葉市中央区,35.6086,140.1233,https://www.ccma-net.jp/,active,,2026-08-02,,0,
幕張メッセ,hall,chiba,千葉県・千葉市美浜区,35.6478,140.0328,https://www.m-messe.co.jp/,active,,2026-08-02,,0,
ZOZOマリンスタジアム,hall,chiba,千葉県・千葉市美浜区,35.6474,140.0357,https://www.marines.co.jp/,active,,2026-08-02,,0,
千葉ポートアリーナ,hall,chiba,,,,,active,,2026-08-02,,0,
LaLa arena TOKYO-BAY,hall,chiba,千葉県・船橋市,35.6825,139.9789,https://chibajets.jp/news/detail/id=24079,active,,2026-08-02,,0,
成田山新勝寺,landmark,chiba,,,,,active,,2026-08-02,,0,
佐原の町並み,landmark,chiba,,,,,active,,2026-08-02,,0,
養老渓谷,landmark,chiba,,,,,active,,2026-08-02,,0,
九十九里浜,landmark,chiba,,,,,active,,2026-08-02,,0,
国営ひたち海浜公園,park,ibaraki,茨城県・ひたちなか市,36.3987,140.5994,https://www.hitachikaihin.jp/,active,,2026-08-02,,0,
偕楽園,park,ibaraki,,,,,active,,2026-08-02,,0,
袋田の滝,park,ibaraki,,,,,active,,2026-08-02,,0,
竜神大吊橋,park,ibaraki,,,,,active,,2026-08-02,,0,
アクアワールド茨城県大洗水族館,aquazoo,ibaraki,茨城県・大洗町,36.3196,140.6083,https://www.aquaworld-oarai.com/,active,,2026-08-02,,0,
日立市かみね動物園,aquazoo,ibaraki,茨城県・日立市,36.5942,140.6497,https://www.city.hitachi.lg.jp/zoo/,active,,2026-08-02,,0,
茨城県近代美術館,museum,ibaraki,,,,,active,,2026-08-02,,0,
水戸芸術館,museum,ibaraki,,,,,active,,2026-08-02,,0,
茨城県自然博物館,museum,ibaraki,,,,,active,,2026-08-02,,0,
つくばエキスポセンター,museum,ibaraki,,,,,active,,2026-08-02,,0,
JAXA筑波宇宙センター,museum,ibaraki,,,,,active,,2026-08-02,,0,
地質標本館,museum,ibaraki,,,,,active,,2026-08-02,,0,
筑波実験植物園,museum,ibaraki,,,,,active,,2026-08-02,,0,
牛久大仏,landmark,ibaraki,,,,,active,,2026-08-02,,0,
鹿島神宮,landmark,ibaraki,,,,,active,,2026-08-02,,0,
大洗磯前神社,landmark,ibaraki,,,,,active,,2026-08-02,,0,
笠間稲荷神社,landmark,ibaraki,,,,,active,,2026-08-02,,0,
那須ハイランドパーク,themepark,tochigi,栃木県・那須町,37.0123,140.0068,https://www.nasuhai.co.jp/,active,,2026-08-02,,0,
東武ワールドスクウェア,themepark,tochigi,,,,,active,,2026-08-02,,0,
日光江戸村,themepark,tochigi,栃木県・日光市,36.7458,139.6392,https://edowonderland.net/,active,,2026-08-02,,0,
那須どうぶつ王国,themepark,tochigi,栃木県・那須町,37.0498,140.0353,https://nasu-oukoku.com/,active,,2026-08-02,,0,
那須サファリパーク,themepark,tochigi,,,,,active,,2026-08-02,,0,
りんどう湖ファミリー牧場,themepark,tochigi,栃木県・那須町,37.0056,140.0206,https://www.rindo.co.jp/,active,,2026-08-02,,0,
栃木県立美術館,museum,tochigi,,,,,active,,2026-08-02,,0,
宇都宮美術館,museum,tochigi,,,,,active,,2026-08-02,,0,
那須ステンドグラス美術館,museum,tochigi,,,,,active,,2026-08-02,,0,
小杉放菴記念日光美術館,museum,tochigi,,,,,active,,2026-08-02,,0,
益子陶芸美術館,museum,tochigi,,,,,active,,2026-08-02,,0,
日光東照宮,landmark,tochigi,,,,,active,,2026-08-02,,0,
華厳の滝,landmark,tochigi,,,,,active,,2026-08-02,,0,
あしかがフラワーパーク,landmark,tochigi,栃木県・足利市,36.3389,139.5322,https://www.ashikaga.co.jp/,active,,2026-08-02,,0,
那須高原,landmark,tochigi,,,,,active,,2026-08-02,,0,
大谷資料館,landmark,tochigi,,,,,active,,2026-08-02,,0,
鬼怒川温泉,landmark,tochigi,,,,,active,,2026-08-02,,0,
群馬サファリパーク,themepark,gunma,群馬県・富岡市,36.2394,138.8797,https://safari.co.jp/,active,,2026-08-02,,0,
桐生が岡遊園地・動物園,themepark,gunma,,,,,active,,2026-08-02,,0,
ぐんまフラワーパーク,themepark,gunma,,,,,active,,2026-08-02,,0,
群馬県立近代美術館,museum,gunma,,,,,active,,2026-08-02,,0,
群馬県立自然史博物館,museum,gunma,,,,,active,,2026-08-02,,0,
伊香保おもちゃと人形自動車博物館,museum,gunma,,,,,active,,2026-08-02,,0,
富岡製糸場,museum,gunma,群馬県・富岡市,36.2589,138.8908,https://www.tomioka-silk.jp/,active,,2026-08-02,,0,
ハラ ミュージアム アーク,museum,gunma,,,,,active,,2026-08-02,,0,
高崎芸術劇場,hall,gunma,群馬県・高崎市,36.3222,139.0032,https://www.takasaki-foundation.or.jp/theatre/,active,,2026-08-02,,0,
Gメッセ群馬,hall,gunma,,,,,active,,2026-08-02,,0,
ヤマダグリーンドーム前橋,hall,gunma,,,,,active,,2026-08-02,,0,
草津温泉,landmark,gunma,,,,,active,,2026-08-02,,0,
伊香保温泉,landmark,gunma,,,,,active,,2026-08-02,,0,
尾瀬,landmark,gunma,,,,,active,,2026-08-02,,0,
榛名湖,landmark,gunma,群馬県・高崎市,36.4739,138.8508,,active,,2026-08-02,,0,
吹割の滝,landmark,gunma,,,,,active,,2026-08-02,,0,
