"id","title","kana","genre","screening_type","area","theater","theater_url","pref","release_date","end_date","date","dates","open_time","start_time","end_time","date_note","backup_date","status","rank","series_id","announced_date","is_additional","onsale_label","onsale_start","onsale_start_time","onsale_end","onsale_end_time","limited_sale","price","price_official","price_best","discount_pct","best_source","coupon_note","price_checked","price_condition","source","url","official_url","lat","lng","desc","note"
"20","刺青","","jp-live","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-11-13","2026-11-19","","","","","","1週間限定上映","","","","","","","前売り紙券","","","","","刺青オリジナルポストカード付き（貴重な紙券）","一般2,000円","2000","1500","25","前売り紙券","","2026-09-24","公開日（11/13）前日までの購入","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","菅野恵・淵上泰史共演、快楽と痛みの果てを描くフェティシズム・ラブストーリー。11月13日から1週間限定上映、前売り紙券は通常2,000円が1,500円。",""
"21","悪魔の毒々モンスター 4Kレストア版","","foreign","revival","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-11-20","","","","","","","","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","トロマ映画の代表作「悪魔の毒々モンスター」を4Kレストア＆ディレクターズカット版で上映。11月20日よりロードショー。",""
"22","静かな友人","","foreign","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-12-04","","","","","","","","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","『心と体と』のイルディコー・エニェディ監督とトニー・レオンが組む、約100年の時を行き来する人間と植物の交流劇。12月4日よりロードショー。",""
"23","1977 あの写真の私たち","","foreign","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-11-13","2026-11-19","","","","","","1週間限定上映","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","台湾民主化の転機となった1977年「中壢事件」を描く台湾映画の通常公開版。10月4日の先行ディレクターズカット上映会に続き、11月13日から1週間限定でロードショー。",""
"24","アフターバーン 世紀末の秘宝","","foreign","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-11-13","","","","","","","","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","デイヴ・バウティスタ、オルガ・キュリレンコ、サミュエル・L・ジャクソン共演、『ジョン・ウィック』制作陣による、失われた名画≪モナ・リザ≫を巡るトレジャー・アクション。11月13日よりロードショー。",""
"25","マーダー・イン・ザ・フロント・ロウ〜俺たちのベイエリア・スラッシュ物語〜","","doc|music","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-09-25","","","","","","","","","","","","2026-08-21","","","","","","","","要問合せ","2000","","","","","2026-08-27","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","80年代米ベイエリアから世界のヘヴィメタル地図を塗り替えた若者たちの軌跡を追う音楽ドキュメンタリー。デス・メタル黎明期のシーンを当事者の証言で振り返る。","9/27(日)16:10の回、伊藤政則さん・武田砂鉄さんによるトークショーを開催"
"28","スターヴ・エイカー 召喚","","foreign","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-09-11","","","","","","","","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","幼い息子を失った夫婦が土地に眠る伝承に辿り着く、喪失と禁忌が交錯する静謐なフォーク・ホラー。",""
"29","ラブ・ライズ","","foreign","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-09-18","","","","","","","","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","第43回香港電影金像奨6部門ノミネート、第61回台湾・金馬奨2部門ノミネートの香港発ロマンティック・コメディ。",""
"30","シネマート新宿「ドラッグストア・カウボーイ デジタルリマスター版」","","foreign","revival","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-09-18","","","","","","","","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","ガス・ヴァン・サント監督の出世作をデジタルリマスター版で上映。ドラッグの快感とドラッグストア強盗のスリルに満たされた日々が狂い始めるさまを描く。",""
"31","【オールナイト上映】TVアニメ「アオのハコ」Season1＜DAY2＞13話～25話","","anime","special","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-10-03","2026-10-03","","","","","","オールナイト上映","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","『アオのハコ』Season1オールナイト上映会DAY2（13〜25話）。DAY1に続く後半エピソードを一挙上映する。",""
"32","デス・バイ・メタル〜デス・メタルを作った男〜","","doc|music","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-09-25","","","","","","","","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","“デス・メタルの父”と呼ばれた男の孤独な物語を追う音楽ドキュメンタリー。",""
"33","雌鶏","","foreign","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-09-25","","","","","","","","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","CG・AIを使わず実際のニワトリを主演に起用した異色作。その視点から人間社会を描くヒューマンドラマ。",""
"34","1977 あの写真の私たち[ディレクターズカット版 特別上映会]","","foreign","special","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-10-04","2026-10-04","","","","","","1日限定・141分のディレクターズカット版","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","台湾民主化の転機となった1977年「中壢事件」を描く台湾映画の、日本初上映となる141分ディレクターズカット版を1日限りで上映。",""
"35","エヴィレンコ","","foreign","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-10-09","","","","","","","","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","旧ソ連時代最大の連続殺人犯アンドレイ・チカチーロを『時計じかけのオレンジ』のマルコム・マクダウェルが演じた問題作の日本初公開。",""
"36","CBGB ニューヨーク、PUNKが生まれた場所","","foreign|music","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-10-23","","","","","","","","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","32年の歴史に幕を閉じて20年、伝説のライブハウスCBGBをアラン・リックマン主演でスクリーンに再現。テレヴィジョンやラモーンズら実在バンドの楽曲が響く。",""
"37","進行曲 マーチングボーイズ","","foreign","new","東京都・新宿区","シネマート新宿|横浜シネマリン","","tokyo","2026-10-23","","","","","","","","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","","","台湾発の青春部活映画。前売りムビチケカード1,600円（マーチング楽器チャーム特典付き）を両館で販売中。",""
"38","もしもの愛","","foreign","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-10-30","2026-11-05","","","","","","1週間限定上映","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","イ・チャンドン監督8年ぶりの最新作。第83回ヴェネツィア国際映画祭コンペティション部門出品作を1週間限定で上映。",""
"39","BULLY ブリー4K","","foreign","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-09-11","","","","","","","","","","","","","","","","","","","","要問合せ","2000","","","","","2026-08-27","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","https://www.bully4k.com/","35.6907","139.7053","実際の少年殺人事件を基にしたラリー・クラーク監督の問題作を、25年ぶりに4Kレストア版で上映。危険な青春映画として知られるR18+指定作。",""
"40","ピリオン","","foreign","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-12-04","","","","","","","","","","","","","","","","","","","","要問合せ","2000","","","","","2026-08-27","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","http://transformer.co.jp/m/pillion/","35.6907","139.7053","第78回カンヌ国際映画祭ある視点部門で最優秀脚本賞とパルムドッグ賞の2冠に輝いた新時代のラブストーリー。米批評家サイトの年間ベスト・ロマンス賞も受賞。",""
"41","横浜シネマリン「クロード・シャブロル傑作選 vol.2」","","foreign","revival","神奈川県・横浜市中区","横浜シネマリン","https://cinemarine.co.jp/","kanagawa","2026-09-19","2026-10-02","","","","","","","","","","","","","","","","","","","一般1,900円/会員・大専・シニア1,300円/高校生以下800円","","","","","","","","横浜シネマリン公式","https://cinemarine.co.jp/claudechabroi_2026/","","35.4420","139.6375","フランスの巨匠クロード・シャブロルの容赦ない人間ドラマを集めた特集第2弾。「正義よ、震えろ。悪よ、燃えろ。」がキャッチコピー。3月開催のvol.1の続編。",""
"42","横浜シネマリン「ミケランジェロ・アントニオーニ レトロスペクティヴ 愛の不毛、彷徨える魂」","","foreign","revival","神奈川県・横浜市中区","横浜シネマリン","https://cinemarine.co.jp/","kanagawa","2026-09-19","2026-10-02","","","","","","","","","","","","","","","","","","","一般1,900円/会員・大専・シニア1,300円/高校生以下800円","","","","","","","","横浜シネマリン公式","https://cinemarine.co.jp/","","35.4420","139.6375","巨匠ミケランジェロ・アントニオーニの回顧特集。神戸・元町映画館発の巡回企画で、1回券特典に日本版ビジュアルポストカードが付く。","9/23(水祝)『赤い砂漠』上映後、矢田部吉彦さん（前東京国際映画祭ディレクター）のトークイベントあり"
"43","横浜シネマリン「パフォーマンス・アート：身体と空間をめぐる映画祭」","","doc|foreign","festival","神奈川県・横浜市中区","横浜シネマリン","https://cinemarine.co.jp/","kanagawa","2026-10-10","2026-10-23","","","","","","","","","","","","","","","","","","","一般1,900円/会員・大専・シニア1,300円/高校生以下800円","","","","","","","","横浜シネマリン公式","https://cinemarine.co.jp/","","35.4420","139.6375","身体と空間表現をテーマにしたパフォーマンス・アート関連作品を集めた特集上映。ダンス・演劇・現代美術など、ジャンル横断的な作品を2週間にわたり上映する企画。","10/10(土)『ナム・ジュン・パイク 月は最古のTV』上映後、日比野民蓉さん（横浜美術館主任学芸員）、佐藤小百合さんのトークイベントあり"
"44","ウィー・ハブ・ア・ドリーム","","doc","new","神奈川県・横浜市中区","横浜シネマリン","https://cinemarine.co.jp/","kanagawa","2026-09-12","","","","","","","","","","","","","","","","","","","","一般1,900円/会員・大専・シニア1,300円/高校生以下800円","1900","","","","","2026-09-24","","横浜シネマリン公式","https://cinemarine.co.jp/","","35.4420","139.6375","ハンディキャップを抱えながらもバレエやダンス、陸上競技に打ち込む子どもたちを追ったフランス発のドキュメンタリー。",""
"45","零下五十度の抑留者","","doc","new","神奈川県・横浜市中区","横浜シネマリン","https://cinemarine.co.jp/","kanagawa","2026-09-05","","","","","","","","","","","","","","","","","","","","一般1,900円/会員・大専・シニア1,300円/高校生以下800円","1900","","","","","2026-09-24","","横浜シネマリン公式","https://cinemarine.co.jp/","","35.4420","139.6375","シベリア抑留から生還した台湾出身の元日本兵の記憶をたどる台湾ドキュメンタリー。9/6上映後に出演者と監督の舞台挨拶あり。",""
"46","横浜シネマリン「シグロ40周年特集上映－差別と冤罪」","","doc","revival|festival","神奈川県・横浜市中区","横浜シネマリン","https://cinemarine.co.jp/","kanagawa","2026-12-26","2026-12-31","","","","","","","","","","","","","","","","","","","一般1,900円/会員・大専・シニア1,300円/高校生以下800円","","","","","","","","横浜シネマリン公式","https://cinemarine.co.jp/","","35.4420","139.6375","ドキュメンタリー制作会社シグロの創立40周年を記念し、差別と冤罪をテーマにした2作品「人間の街－大阪・被差別部落－」「狭山事件－石川一雄・獄中27年－」を上映する回顧特集。",""
"47","遥かな町へ","","jp-live","new","神奈川県・横浜市中区","横浜シネマリン","https://www.tohotheater.jp/theater/010/","kanagawa","2026-10-09","","","","","","","","","","","","","","","","","","","","一般1,900円/会員・大専・シニア1,300円/高校生以下800円","1900","","","","","2026-09-24","","横浜シネマリン公式","https://cinemarine.co.jp/","","36.3895","139.0730","谷口ジロー原作の世界的名作漫画を日本初実写化。14歳の“あの日”にタイムスリップした中年男が、人生の選択を見つめ直す大人の青春物語。",""
"48","プーチンの愛国教室","","doc","new","神奈川県・横浜市中区","横浜シネマリン","https://cinemarine.co.jp/","kanagawa","2026-10-17","","","","","","","","","","","","","","","","","","","","一般1,900円/会員・大専・シニア1,300円/高校生以下800円","1900","","","","","2026-09-24","","横浜シネマリン公式","https://cinemarine.co.jp/","","35.4420","139.6375","アカデミー賞長編ドキュメンタリー賞受賞。子どもたちが愛国プロパガンダに飲み込まれていく学校現場を、記録に携わった教師自身が撮影したロシアのドキュメンタリー。",""
"49","ナウ・アンド・ゼン","","doc","new","神奈川県・横浜市中区","横浜シネマリン","https://cinemarine.co.jp/","kanagawa","2026-10-17","","","","","","","","","","","","","","","","","","","","一般1,900円/会員・大専・シニア1,300円/高校生以下800円","1900","","","","","2026-09-24","","横浜シネマリン公式","https://cinemarine.co.jp/","","35.4420","139.6375","百年前の死が今日も繰り返されているという問いから出発し、過去と現在の“声”をつなぐドキュメンタリー。",""
"50","聴く隣人のいるところ","","doc","new","神奈川県・横浜市中区","横浜シネマリン","https://cinemarine.co.jp/","kanagawa","2026-10-24","2026-10-30","","","","","","1週間限定","","","","","","","","","","","","","一般1,900円/会員・大専・シニア1,300円/高校生以下800円","1900","","","","","2026-09-24","","横浜シネマリン公式","https://cinemarine.co.jp/","","35.4420","139.6375","全寮制高校の一年間を追い、声と歌が届く瞬間を記録したドキュメンタリー。1週間限定上映。10/24(土)上映後、早川嗣監督の舞台挨拶あり。","10/24(土)上映後、早川嗣監督の舞台挨拶あり"
"51","CBGB ニューヨーク、PUNKが生まれた場所","","foreign|music","new","神奈川県・横浜市中区","横浜シネマリン","https://cinemarine.co.jp/","kanagawa","2026-10-24","","","","","","","","","","","","","","","","","","","","一般1,900円/会員・大専・シニア1,300円/高校生以下800円","1900","","","","","2026-09-24","","横浜シネマリン公式","https://cinemarine.co.jp/","","35.4420","139.6375","テレヴィジョン、トーキング・ヘッズ、パティ・スミス、ラモーンズらを輩出した伝説のクラブCBGBを舞台に、PUNK誕生の時代を描く2013年アメリカ映画。",""
"52","ザ・ゴールドディガーズ","","foreign","revival","神奈川県・横浜市中区","横浜シネマリン","https://cinemarine.co.jp/","kanagawa","2026-10-24","","","","","","","","","","","","","","","","","","","","一般1,900円/会員・大専・シニア1,300円/高校生以下800円","1900","","","","","2026-09-24","","横浜シネマリン公式","https://cinemarine.co.jp/","","35.4420","139.6375","サリー・ポッター長編監督デビュー作、国内劇場初公開。1983年制作のモノクロ作品で、《黄金》が支配する世界を描く。",""
