chain,name,pref,area,lat,lng,url,status,first_seen,last_hit,hit_count,note
TOHOシネマズ,TOHOシネマズ宇都宮,tochigi,栃木県・宇都宮市,36.5580,139.9280,https://www.tohotheater.jp/theater/015/index.html,active,2026-08-02,,0,
イオンシネマ,イオンシネマ高崎,gunma,群馬県・高崎市,36.3913,139.0062,https://www.aeoncinema.com/cinema/takasaki/,active,2026-08-02,,0,
イオンシネマ,イオンシネマ太田,gunma,群馬県・太田市,36.2942,139.4004,https://www.aeoncinema.com/cinema/oota/,active,2026-08-02,,0,
イオンシネマ,イオンシネマ下妻,ibaraki,茨城県・下妻市,36.1903,139.9899,https://www.aeoncinema.com/cinema/shimotsuma/,active,2026-08-02,,0,
イオンシネマ,イオンシネマ守谷,ibaraki,茨城県・守谷市,35.9449,139.9904,https://www.aeoncinema.com/cinema/moriya/,active,2026-08-02,,0,
イオンシネマ,イオンシネマ川口,saitama,埼玉県・川口市,35.8380,139.7244,https://www.aeoncinema.com/cinema/kawaguchi/,active,2026-08-02,,0,
イオンシネマ,イオンシネマ春日部,saitama,埼玉県・春日部市,35.9877,139.7885,https://www.aeoncinema.com/cinema/kasukabe/,active,2026-08-02,,0,
イオンシネマ,イオンシネマ千葉ニュータウン,chiba,千葉県・印西市,35.8026,140.1112,https://www.aeoncinema.com/cinema/chiba/,active,2026-08-02,,0,
イオンシネマ,シネマイクスピアリ,chiba,千葉県・浦安市,35.6345,139.8856,https://www.aeoncinema.com/cinema/ikspiari/,active,2026-08-02,,0,
イオンシネマ,イオンシネマ市川妙典,chiba,千葉県・市川市,35.6930,139.9280,https://www.aeoncinema.com/cinema/ichikawa/,active,2026-08-02,,0,
イオンシネマ,イオンシネマ板橋,tokyo,東京都・板橋区,35.7704,139.6611,https://www.aeoncinema.com/cinema/itabashi/,active,2026-08-02,,0,
イオンシネマ,イオンシネマシアタス調布,tokyo,東京都・調布市,35.6517,139.5450,https://www.aeoncinema.com/cinema/chofu/,active,2026-08-02,,0,
イオンシネマ,イオンシネマ多摩センター,tokyo,東京都・多摩市,35.6234,139.4266,https://www.aeoncinema.com/cinema/tama/,active,2026-08-02,,0,
イオンシネマ,イオンシネマみなとみらい,kanagawa,神奈川県・横浜市中区,35.4543,139.6386,https://www.aeoncinema.com/cinema/minatomirai/,active,2026-08-02,,0,
イオンシネマ,イオンシネマ新百合ヶ丘,kanagawa,神奈川県・川崎市麻生区,35.6009,139.5041,https://www.aeoncinema.com/cinema/shinyurigaoka/,active,2026-08-02,,0,
イオンシネマ,イオンシネマ座間,kanagawa,神奈川県・座間市,35.4880,139.4010,https://www.aeoncinema.com/cinema/zama/,active,2026-08-02,,0,
109シネマズ,109シネマズプレミアム新宿,tokyo,東京都・新宿区,35.6952,139.7025,https://109cinemas.net/premiumshinjuku/,active,2026-08-02,,0,
109シネマズ,109シネマズグランベリーパーク,tokyo,東京都・町田市,35.5230,139.4460,https://109cinemas.net/grandberrypark/,active,2026-08-02,,0,
109シネマズ,109シネマズ木場,tokyo,東京都・江東区,35.6726,139.8125,https://109cinemas.net/kiba/,active,2026-08-02,,0,
109シネマズ,109シネマズ二子玉川,tokyo,東京都・世田谷区,35.6122,139.6270,https://109cinemas.net/futakotamagawa/,active,2026-08-02,,0,
109シネマズ,109シネマズ川崎,kanagawa,神奈川県・川崎市幸区,35.5314,139.6934,https://109cinemas.net/kawasaki/,active,2026-08-02,,0,
109シネマズ,109シネマズ湘南,kanagawa,神奈川県・藤沢市,35.3390,139.4460,https://109cinemas.net/shonan/,active,2026-08-02,,0,
109シネマズ,109シネマズゆめが丘,kanagawa,神奈川県・横浜市泉区,35.3980,139.4820,https://109cinemas.net/yumegaoka/,active,2026-08-02,,0,
109シネマズ,109シネマズ港北,kanagawa,神奈川県・横浜市都筑区,35.5453,139.5750,https://109cinemas.net/kohoku/,active,2026-08-02,,0,
109シネマズ,109シネマズ菖蒲,saitama,埼玉県・久喜市,36.0263,139.5680,https://109cinemas.net/shobu/,active,2026-08-02,,0,
109シネマズ,109シネマズ佐野,tochigi,栃木県・佐野市,36.3050,139.5960,https://109cinemas.net/sano/,active,2026-08-02,,0,
109シネマズ,109シネマズ高崎,gunma,群馬県・高崎市,36.3300,139.0050,https://109cinemas.net/takasaki/,active,2026-08-02,,0,
MOVIX,MOVIX亀有,tokyo,東京都・葛飾区,35.7653,139.8524,https://www.smt-cinema.com/site/kameari/,active,2026-08-02,,0,
MOVIX,MOVIX昭島,tokyo,東京都・昭島市,35.7137,139.3631,https://www.smt-cinema.com/site/akishima/,active,2026-08-02,,0,
MOVIX,MOVIX橋本,kanagawa,神奈川県・相模原市緑区,35.5936,139.3459,https://www.smt-cinema.com/site/hashimoto/,active,2026-08-02,,0,
MOVIX,MOVIX柏の葉,chiba,千葉県・柏市,35.8937,139.9510,https://www.smt-cinema.com/site/kashiwanoha/,active,2026-08-02,,0,
MOVIX,MOVIXさいたま,saitama,埼玉県・さいたま市大宮区,35.8947,139.6361,https://www.smt-cinema.com/site/saitama/,active,2026-08-02,,0,
MOVIX,MOVIX川口,saitama,埼玉県・川口市,35.8130,139.7160,https://www.smt-cinema.com/site/kawaguchi/,active,2026-08-02,,0,
MOVIX,MOVIXつくば,ibaraki,茨城県・つくば市,36.0853,140.0839,https://www.smt-cinema.com/site/tsukuba/,active,2026-08-02,,0,
MOVIX,MOVIX宇都宮,tochigi,栃木県・宇都宮市,36.5280,139.9660,https://www.smt-cinema.com/site/utsunomiya/,active,2026-08-02,,0,
MOVIX,MOVIX伊勢崎,gunma,群馬県・伊勢崎市,36.3010,139.1830,https://www.smt-cinema.com/site/isesaki/,active,2026-08-02,,0,
ユナイテッド・シネマ,ユナイテッド・シネマ豊洲,tokyo,東京都・江東区,35.6547,139.7967,https://www.unitedcinemas.jp/toyosu/index.html,active,2026-08-02,,0,
ユナイテッド・シネマ,ユナイテッド・シネマアクアシティお台場,tokyo,東京都・港区,35.6298,139.7745,https://www.unitedcinemas.jp/odaiba/index.html,active,2026-08-02,,0,
ユナイテッド・シネマ,ユナイテッド・シネマ南砂,tokyo,東京都・江東区,35.6668,139.8371,https://www.unitedcinemas.jp/minamisuna/index.html,active,2026-08-02,,0,
ユナイテッド・シネマ,ユナイテッド・シネマ幕張,chiba,千葉県・千葉市美浜区,35.6512,140.0330,https://www.unitedcinemas.jp/makuhari/index.html,active,2026-08-02,,0,
ユナイテッド・シネマ,ユナイテッド・シネマ浦和,saitama,埼玉県・さいたま市浦和区,35.8616,139.6547,https://www.unitedcinemas.jp/urawa/index.html,active,2026-08-02,,0,
ユナイテッド・シネマ,ユナイテッド・シネマウニクス秩父,saitama,埼玉県・秩父市,35.9930,139.0850,https://www.unitedcinemas.jp/chichibu/index.html,active,2026-08-02,,0,
ユナイテッド・シネマ,ユナイテッド・シネマ前橋,gunma,群馬県・前橋市,36.3895,139.0730,https://www.unitedcinemas.jp/maebashi/index.html,active,2026-08-02,,0,
T・ジョイ,T・ジョイPRINCE品川,tokyo,東京都・港区,35.6285,139.7387,https://tjoy.co.jp/theater/info/tjoy-prince-shinagawa,active,2026-08-02,,0,
T・ジョイ,T・ジョイSEIBU大泉,tokyo,東京都・練馬区,35.7563,139.5990,https://tjoy.co.jp/theater/info/tjoy-seibu-oizumi,active,2026-08-02,,0,
T・ジョイ,T・ジョイエミテラス所沢,saitama,埼玉県・所沢市,35.7990,139.4690,https://tjoy.jp/t-joy_emiterrace_tokorozawa,active,2026-08-02,,0,
T・ジョイ,T・ジョイ横浜,kanagawa,神奈川県・横浜市西区,35.4657,139.6220,https://tjoy.co.jp/theater/info/yokohama,active,2026-08-02,,0,
T・ジョイ,T・ジョイ蘇我,chiba,千葉県・千葉市中央区,35.5810,140.1290,https://tjoy.co.jp/theater/info/soga,active,2026-08-02,,0,
USシネマ,USシネマ千葉ニュータウン,chiba,千葉県・印西市,35.8280,140.1500,https://uscinemas.jp/category/chiban/,active,2026-08-02,,0,
USシネマ,USシネマちはら台,chiba,千葉県・市原市,35.4550,140.1000,https://uscinemas.jp/theater-guide-chihara/,active,2026-08-02,,0,
USシネマ,USシネマつくば,ibaraki,茨城県・つくば市,36.0850,140.0850,https://uscinemas.jp/access-tsukuba/,active,2026-08-02,,0,
USシネマ,USシネマパルナ稲敷,ibaraki,茨城県・稲敷市,35.9700,140.3100,https://uscinemas.jp/theater-guide-palnalnashiki/,active,2026-08-02,,0,
ヒューマントラストシネマ,ヒューマントラストシネマ渋谷,tokyo,東京都・渋谷区,35.6592,139.6989,https://ttcg.jp/human_shibuya/,active,2026-08-02,,0,
ヒューマントラストシネマ,ヒューマントラストシネマ有楽町,tokyo,東京都・千代田区,35.6750,139.7630,https://ttcg.jp/human_yurakucho/,active,2026-08-02,,0,
